# Ra        |Nu        |Nuv       |sigma     |res       |fname           
 7.413e+05      6.170      3.813  -1.44e-02   3.85e-09  b'Ra7.413e+05_'
 7.586e+05      6.186      3.831  -1.49e-02   4.42e-09  b'Ra7.586e+05_'
 7.762e+05      6.203      3.850  -1.55e-02   7.08e-09  b'Ra7.762e+05_'
 7.943e+05      6.220      3.869  -1.23e-02   4.37e-09  b'Ra7.943e+05_'
 8.128e+05      6.237      3.888  -4.68e-03   4.75e-09  b'Ra8.128e+05_'
 8.318e+05      6.255      3.908   3.21e-03   6.46e-09  b'Ra8.318e+05_'
 8.511e+05      6.273      3.928   1.13e-02   4.18e-09  b'Ra8.511e+05_'
 8.710e+05      6.291      3.948   1.97e-02   4.63e-09  b'Ra8.710e+05_'
 8.913e+05      6.309      3.968   2.82e-02   7.80e-09  b'Ra8.913e+05_'
 9.120e+05      6.328      3.988   3.65e-02   2.87e-09  b'Ra9.120e+05_'
 9.333e+05      6.347      4.009   4.48e-02   3.69e-09  b'Ra9.333e+05_'
 9.550e+05      6.366      4.030   5.28e-02   7.49e-09  b'Ra9.550e+05_'
 9.772e+05      6.385      4.051   6.05e-02   5.56e-09  b'Ra9.772e+05_'
 1.000e+06      6.405      4.072   6.80e-02   6.48e-09  b'Ra1.000e+06_'
 1.023e+06      6.425      4.093  -2.26e-02   4.02e-09  b'Ra1.023e+06_'
 1.047e+06      6.445      4.115  -2.32e-02   5.49e-09  b'Ra1.047e+06_'
 1.072e+06      6.466      4.137  -2.39e-02   3.50e-09  b'Ra1.072e+06_'
 1.096e+06      6.486      4.158  -2.46e-02   3.04e-09  b'Ra1.096e+06_'
 1.122e+06      6.507      4.180  -2.53e-02   4.92e-09  b'Ra1.122e+06_'
 1.148e+06      6.528      4.201  -2.60e-02   6.88e-09  b'Ra1.148e+06_'
 1.175e+06      6.549      4.223  -2.68e-02   4.87e-09  b'Ra1.175e+06_'
 1.202e+06      6.571      4.244  -2.76e-02   2.91e-09  b'Ra1.202e+06_'
 1.230e+06      6.592      4.266  -2.84e-02   3.88e-09  b'Ra1.230e+06_'
 1.259e+06      6.614      4.288  -2.93e-02   1.01e-08  b'Ra1.259e+06_'
 1.288e+06      6.636      4.309  -3.03e-02   4.94e-09  b'Ra1.288e+06_'
 1.318e+06      6.658      4.330  -3.13e-02   9.57e-09  b'Ra1.318e+06_'
 1.349e+06      6.680      4.352  -3.24e-02   2.96e-09  b'Ra1.349e+06_'
